FROM_DATE,THRU_DATE,PORTFOLIO_CODE,SECURITY_ID,BEGIN_WEIGHT,SEC_RETURN,CONTRIBUTION
2021-06-01,2021-06-30,MEGA_ALPHA,AAPL,0.0907908090476107,0.0991092746537987,0.008998211229940241
2021-06-01,2021-06-30,MEGA_ALPHA,ABBV,0.0095742475631246,-0.0049469545824042,-0.00004736336785547149
2021-06-01,2021-06-30,MEGA_ALPHA,ABT,0.0084699641122597,-0.0061722199451024,-0.00005227848142799086
2021-06-01,2021-06-30,MEGA_ALPHA,ACN,0.0066984981851652,0.044762228313071,0.00029983970511905645
2021-06-01,2021-06-30,MEGA_ALPHA,ADBE,0.0088426148096335,0.1606485200232223,0.0014205529823030493
2021-06-01,2021-06-30,MEGA_ALPHA,AIG,0.0019553305407328,-0.0935914636191002,-0.00018300224716630937
2021-06-01,2021-06-30,MEGA_ALPHA,AMGN,0.0060772235303022,0.0244179316046599,0.0001483932285091489
2021-06-01,2021-06-30,MEGA_ALPHA,AMT,0.0047845894611691,0.0625277208537655,0.00029916947422784976
2021-06-01,2021-06-30,MEGA_ALPHA,AMZN,0.0600703756208284,0.0673549873709398,0.004046039391308507
2021-06-01,2021-06-30,MEGA_ALPHA,AVGO,0.0096882810295345,0.0174508516970863,0.0001690687554461011
2021-06-01,2021-06-30,MEGA_ALPHA,AXP,0.0045850530484258,0.0318491361504629,0.00014602997879640828
2021-06-01,2021-06-30,MEGA_ALPHA,BA,0.0054640188914763,-0.0302000104640871,-0.00016501342769855386
2021-06-01,2021-06-30,MEGA_ALPHA,BAC,0.0136487775114504,-0.0232706954723813,-0.00031761654503924855
2021-06-01,2021-06-30,MEGA_ALPHA,BIIB,0.0016054391824136,0.2945639853116761,0.000472904563747269
2021-06-01,2021-06-30,MEGA_ALPHA,BK,0.0019267601258598,-0.0163210562102782,-0.0000314467603178805
2021-06-01,2021-06-30,MEGA_ALPHA,BKNG,0.0044420915534291,-0.0734517072179332,-0.00032627920821772834
2021-06-01,2021-06-30,MEGA_ALPHA,BLK,0.0051462972503932,0.0023046786791272,0.000011860561549432142
2021-06-01,2021-06-30,MEGA_ALPHA,BMY,0.0061322732283068,0.0167374545197536,0.00010263864426148765
2021-06-01,2021-06-30,MEGA_ALPHA,BRKB,0.0243257179777338,-0.0398009567319705,-0.0009681868487058998
2021-06-01,2021-06-30,MEGA_ALPHA,C,0.0070409574230794,-0.1011307458529503,-0.0007120572757148867
2021-06-01,2021-06-30,MEGA_ALPHA,CASH_USD,0.0034627586848004,-0.0002183014802655,-7.559253466941433e-7
