beginning_date,ending_date,identifier,weight,return,name
2008-04-30,2008-05-31,AAPL,0.00969676522,0.08508200840,Apple Inc.
2008-04-30,2008-05-31,ACN,0.01274604522,0.08708373950,Accenture
2008-04-30,2008-05-31,ADBE,0.01157324522,0.18155002120,Adobe Inc.
2008-04-30,2008-05-31,AIG,0.01915897043,-0.22077883820,American International Group
2008-04-30,2008-05-31,AMD,0.02150457043,0.15436242790,Advanced Micro Devices
2008-04-30,2008-05-31,AMZN,0.01986265043,0.03802617190,Amazon
2008-04-30,2008-05-31,AXP,0.02127001043,-0.03102436850,American Express
2008-04-30,2008-05-31,BK,0.02150457043,0.02880020850,Bank of New York Mellon
2008-04-30,2008-05-31,BKNG,0.01845529043,0.05398000850,Booking Holdings
2008-04-30,2008-05-31,BMY,0.01040044522,0.05202699040,Bristol Myers Squibb
2008-04-30,2008-05-31,BRK-B,0.02056633043,0.00919900940,Berkshire Hathaway
2008-04-30,2008-05-31,C,0.02173913043,-0.13375538480,Citigroup
2008-04-30,2008-05-31,CAT,0.02314649043,0.01390097640,Caterpillar Inc.
2008-04-30,2008-05-31,CL,0.00993132522,0.05722777950,Colgate-Palmolive
2008-04-30,2008-05-31,CMCSA,0.02431929043,0.09489014800,Comcast
2008-04-30,2008-05-31,COF,0.02150457043,-0.09207563180,Capital One
2008-04-30,2008-05-31,COST,0.02197369043,0.00098224010,Costco
2008-04-30,2008-05-31,CRM,0.01274604522,0.08362048190,Salesforce
2008-04-30,2008-05-31,CVS,0.00993132522,0.06153114700,CVS Health
2008-04-30,2008-05-31,CVX,0.01180780522,0.03120114220,Chevron Corporation
2008-04-30,2008-05-31,DE,0.00993132522,-0.03247283110,John Deere
2008-04-30,2008-05-31,DIS,0.02244281043,0.03607765080,Walt Disney
2008-04-30,2008-05-31,FDX,0.02080089043,-0.04339200700,FedEx
2008-04-30,2008-05-31,GE,0.02127001043,-0.06055033290,GE Aerospace
2008-04-30,2008-05-31,GILD,0.01204236522,0.06877940310,Gilead Sciences
2008-04-30,2008-05-31,GOOG,0.02385017043,0.02004220570,Alphabet Inc. (Class C)
2008-04-30,2008-05-31,GOOGL,0.02455385043,0.02004215340,Alphabet Inc. (Class A)
2008-04-30,2008-05-31,HD,0.02103545043,-0.04999984620,Home Depot (The)
2008-04-30,2008-05-31,IBM,0.01157324522,0.07232775030,IBM
2008-04-30,2008-05-31,INTC,0.01157324522,0.04133029090,Intel
2008-04-30,2008-05-31,INTU,0.00946220522,0.07378578290,Intuit
2008-04-30,2008-05-31,JNJ,0.01133868522,-0.00521675820,Johnson & Johnson
2008-04-30,2008-05-31,JPM,0.02080089043,-0.09023098620,JPMorgan Chase
2008-04-30,2008-05-31,KO,0.01180780522,-0.02734868150,Coca-Cola Company (The)
2008-04-30,2008-05-31,LIN,0.02220825043,0.04106911270,Linde plc
2008-04-30,2008-05-31,LLY,0.02267737043,0.00000000000,Eli Lilly and Company
2008-04-30,2008-05-31,LMT,0.01251148522,0.03206372310,Lockheed Martin
2008-04-30,2008-05-31,LOW,0.01728249043,-0.04408103710,Lowe's
2008-04-30,2008-05-31,MA,0.02080089043,0.11034845620,Mastercard
2008-04-30,2008-05-31,MDT,0.01133868522,0.04357104320,Medtronic
2008-04-30,2008-05-31,MMM,0.01040044522,0.00858186850,3M
2008-04-30,2008-05-31,MSFT,0.00969676522,-0.00701235730,Microsoft
2008-04-30,2008-05-31,NEE,0.01157324522,0.01855506050,NextEra Energy
2008-04-30,2008-05-31,NFLX,0.02173913043,-0.05065657110,Netflix
2008-04-30,2008-05-31,NKE,0.01040044522,0.02350303600,"Nike, Inc."
2008-04-30,2008-05-31,NVDA,0.02291193043,0.20194661160,Nvidia
