beginning_date,ending_date,identifier,weight,return
2008-04-30,2008-05-31,aapl,0.00969676522,0.08508200840
2008-04-30,2008-05-31,acn,0.01274604522,0.08708373950
2008-04-30,2008-05-31,adbe,0.01157324522,0.18155002120
2008-04-30,2008-05-31,aig,0.01915897043,-0.22077883820
2008-04-30,2008-05-31,amd,0.02150457043,0.15436242790
2008-04-30,2008-05-31,amzn,0.01986265043,0.03802617190
2008-04-30,2008-05-31,axp,0.02127001043,-0.03102436850
2008-04-30,2008-05-31,bk,0.02150457043,0.02880020850
2008-04-30,2008-05-31,bkng,0.01845529043,0.05398000850
2008-04-30,2008-05-31,bmy,0.01040044522,0.05202699040
2008-04-30,2008-05-31,brk-b,0.02056633043,0.00919900940
2008-04-30,2008-05-31,c,0.02173913043,-0.13375538480
2008-04-30,2008-05-31,cat,0.02314649043,0.01390097640
2008-04-30,2008-05-31,cl,0.00993132522,0.05722777950
2008-04-30,2008-05-31,cmcsa,0.02431929043,0.09489014800
2008-04-30,2008-05-31,cof,0.02150457043,-0.09207563180
2008-04-30,2008-05-31,cost,0.02197369043,0.00098224010
2008-04-30,2008-05-31,crm,0.01274604522,0.08362048190
2008-04-30,2008-05-31,cvs,0.00993132522,0.06153114700
2008-04-30,2008-05-31,cvx,0.01180780522,0.03120114220
2008-04-30,2008-05-31,de,0.00993132522,-0.03247283110
2008-04-30,2008-05-31,dis,0.02244281043,0.03607765080
2008-04-30,2008-05-31,fdx,0.02080089043,-0.04339200700
2008-04-30,2008-05-31,ge,0.02127001043,-0.06055033290
2008-04-30,2008-05-31,gild,0.01204236522,0.06877940310
2008-04-30,2008-05-31,goog,0.02385017043,0.02004220570
2008-04-30,2008-05-31,googl,0.02455385043,0.02004215340
2008-04-30,2008-05-31,hd,0.02103545043,-0.04999984620
2008-04-30,2008-05-31,ibm,0.01157324522,0.07232775030
2008-04-30,2008-05-31,intc,0.01157324522,0.04133029090
2008-04-30,2008-05-31,intu,0.00946220522,0.07378578290
2008-04-30,2008-05-31,jnj,0.01133868522,-0.00521675820
2008-04-30,2008-05-31,jpm,0.02080089043,-0.09023098620
2008-04-30,2008-05-31,ko,0.01180780522,-0.02734868150
2008-04-30,2008-05-31,lin,0.02220825043,0.04106911270
2008-04-30,2008-05-31,lly,0.02267737043,0.00000000000
2008-04-30,2008-05-31,lmt,0.01251148522,0.03206372310
2008-04-30,2008-05-31,low,0.01728249043,-0.04408103710
2008-04-30,2008-05-31,ma,0.02080089043,0.11034845620
2008-04-30,2008-05-31,mdt,0.01133868522,0.04357104320
2008-04-30,2008-05-31,mmm,0.01040044522,0.00858186850
2008-04-30,2008-05-31,msft,0.00969676522,-0.00701235730
2008-04-30,2008-05-31,nee,0.01157324522,0.01855506050
2008-04-30,2008-05-31,nflx,0.02173913043,-0.05065657110
2008-04-30,2008-05-31,nke,0.01040044522,0.02350303600
2008-04-30,2008-05-31,nvda,0.02291193043,0.20194661160
2008-04-30,2008-05-31,orcl,0.01040044522,0.09544378440
